timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,timestamp_dt
1744272000000,0.03,0.11,0.03,0.09575,329799928.0,1744286399999,28834627.55999,141603,168734276.0,14759739.9084,2025-04-10 08:00:00
1744286400000,0.09575,0.125,0.081,0.08227,627681132.0,1744300799999,61409200.86745,332827,313643820.0,30703835.0591,2025-04-10 12:00:00
1744300800000,0.08227,0.085,0.07223,0.07971,243523745.0,1744315199999,19212874.88162,164898,125880598.0,9943488.69222,2025-04-10 16:00:00
1744315200000,0.07968,0.09,0.07726,0.08501,157191166.0,1744329599999,12986419.98163,139399,79423106.0,6563927.74265,2025-04-10 20:00:00
1744329600000,0.08498,0.088,0.076,0.0803,119844799.0,1744343999999,9751268.51818,90785,58840212.0,4790413.18484,2025-04-11 00:00:00
1744344000000,0.08025,0.08373,0.07849,0.08316,102894357.0,1744358399999,8374325.02993,86996,52627811.0,4285400.73556,2025-04-11 04:00:00
1744358400000,0.08316,0.095,0.08183,0.09134,305928142.0,1744372799999,27050377.45988,227714,157048273.0,13891726.84551,2025-04-11 08:00:00
1744372800000,0.09131,0.10221,0.08893,0.09403,277181790.0,1744387199999,26806459.26381,223620,142946245.0,13834328.47846,2025-04-11 12:00:00
1744387200000,0.09402,0.1245,0.09213,0.12228,435899012.0,1744401599999,48262172.15624,276656,230818779.0,25570639.71615,2025-04-11 16:00:00
1744401600000,0.1222,0.1235,0.11008,0.11189,204105445.0,1744415999999,23737046.31634,166112,102903377.0,11969491.83334,2025-04-11 20:00:00
1744416000000,0.1119,0.13166,0.107,0.12941,225590657.0,1744430399999,26589070.0628,269097,114777487.0,13546211.79074,2025-04-12 00:00:00
1744430400000,0.12943,0.18175,0.12369,0.16321,415573622.0,1744444799999,60862757.00498,469352,212061299.0,31065661.49756,2025-04-12 04:00:00
1744444800000,0.16304,0.17008,0.1362,0.1449,375014951.0,1744459199999,57429255.04978,466031,192043398.0,29391105.00394,2025-04-12 08:00:00
1744459200000,0.1449,0.16337,0.13282,0.15786,333725920.0,1744473599999,49477045.87204,445254,172754310.0,25631151.71708,2025-04-12 12:00:00
1744473600000,0.15787,0.16369,0.13708,0.13897,298633513.0,1744487999999,44079531.91898,367042,150939747.0,22311459.79473,2025-04-12 16:00:00
1744488000000,0.13897,0.1444,0.13423,0.14062,142190111.0,1744502399999,19789870.93959,198303,72803752.0,10138176.38862,2025-04-12 20:00:00
1744502400000,0.14062,0.14933,0.13136,0.13881,185973874.0,1744516799999,26236208.6757,280133,95906092.0,13549305.62516,2025-04-13 00:00:00
1744516800000,0.13878,0.13878,0.127,0.13116,129554917.0,1744531199999,17026827.39285,188025,61723932.0,8108512.81011,2025-04-13 04:00:00
1744531200000,0.13114,0.14358,0.13035,0.13525,135206183.0,1744545599999,18459698.15788,174493,70520980.0,9631247.39856,2025-04-13 08:00:00
1744545600000,0.13531,0.13963,0.12975,0.13545,104222323.0,1744559999999,14023270.73502,158613,50853617.0,6851100.47054,2025-04-13 12:00:00
