ret_diff,ret_diff_3v,rsi_diff,macd_diff,macd_signal_diff,rolling_corr,volatility_ratio,target
-0.012414727258347776,0.07141837238940094,-40.04907142857205,567.9398687650128,729.7016310814281,0.9076125186130433,14.359286775957326,0
0.03379083146230512,0.09761669550774983,-71.53028571428547,488.7573392531683,681.5127807295939,0.9373688244611397,13.649566993443845,0
-0.0484399108353444,-0.027063806631387057,-44.13992857142899,413.59914200636655,627.9300554507864,0.7331162591827504,16.86755860202429,0
-0.005998143274431063,-0.020647222647470344,-84.78328571428612,369.4099416759773,576.2260313773656,0.6948487241730672,13.214822735906138,0
0.03518075025234473,-0.019257303857430734,-57.62535714285644,308.7483991781666,522.7305046284616,0.5706481007573118,11.020343567503835,1
0.07425833673063797,0.10344094370855164,-37.704785714286466,274.84241009021343,473.1528896879573,0.0310819935340788,11.63599412288355,0
0.016833640587124468,0.12627272757010716,-50.495499999999915,214.6702818951922,421.4563740996369,-0.047024809994584305,10.662613236825305,0
-0.014502492624155667,0.07658948469360677,-40.68757142857197,167.74864877999775,370.7148341544811,0.08516947061542904,8.317598386062214,0
0.0032450333054975136,0.005576181268466315,-39.07764285714302,151.9663254853069,326.965136268232,0.05310277366273278,7.621481537347326,0
-0.023094493709937092,-0.03435195302859524,-26.20992857142828,148.86516769390028,291.34514456825053,0.01742212689787516,9.636485615642691,0
0.030838709855385223,0.010989249450945645,-5.996357142857059,157.48607133916695,264.5733313854305,0.3701669829814178,6.007759469160272,0
0.005758592939164411,0.013502809084612542,-24.275928571428345,170.1024330318978,245.67915272700947,-0.24912425452331963,14.443574328553233,0
0.10103887347564493,0.13763617627019456,-88.54828571428536,112.33092932135125,219.00951028125192,0.922043697119241,7.87130775305212,0
0.1520519595679639,0.2588494259827733,-3.0875714285715534,128.97286812219753,201.00218602266116,0.0001721312505408041,8.174707911950614,0
-0.03500588001565497,0.21808495302795386,-20.548714285713913,111.9415213572067,183.19005705505182,-0.22753082260421884,7.927806961904647,1
-0.05096911848635766,0.06607696106595129,19.572357142857058,116.66147486130623,169.88434341088907,-0.07961618718648243,9.409170409985922,0
-0.020902667193296955,-0.10687766569530958,22.685071428571177,114.9551463852864,158.89850575144615,-0.0992766114711856,9.754877706614627,0
0.027070016328352677,-0.04480176935130194,20.956071428571846,129.785865820768,153.07597892730374,-0.7969923689508335,11.992150278279832,0
-0.002521702194991581,0.0036456469400641418,45.644857142857056,145.66881520996102,151.59454689514695,-0.18970426916402178,7.880757796708069,0
0.041153613389421084,0.06570192752278217,15.53678571428563,139.96757430188285,149.26915293359733,0.547046102446085,13.437475035714433,0
-0.046740224434858195,-0.008108313240428697,27.0146428571424,116.24921533316233,142.6651656805897,-0.24653425912580335,12.214877863644958,0
0.028581354327106546,0.022994743281669436,37.25057142857164,110.44121128031018,136.2203749517808,-0.33418975617822355,10.722948058902839,0
-0.0281052787531297,-0.04626414886088134,-6.44264285714319,78.72660406097417,124.72162079784376,-0.40263497498324663,10.99099601637946,0
-0.02620233712984841,-0.02572626155587156,-6.00392857142932,64.46739956928866,112.67077646802109,-0.1807511860964488,10.871010677273002,0
-0.008907698347834336,-0.06321531423081245,11.12450000000004,84.43747352123958,107.02411573567801,-0.4667042030456624,5.727214778881977,0
-0.10545872276580556,-0.1405687582434883,13.144357142857142,109.03419987108484,107.42613231735861,-0.07898143230522686,12.119393047583022,0
0.03718480176757629,-0.0771816193460636,81.96164285714211,138.20140409850677,113.58118643875991,-0.045457256804162245,12.896670462713898,0
0.05253101522217477,-0.0157429057760545,17.448642857141984,150.61506452835934,120.98796188468509,0.3506770324161855,23.009681260940514,0
-0.02992525441714957,0.05979056257260149,30.45342857142857,144.54808942842988,125.69998725562351,0.1928351991016223,18.131955424843145,0
-0.01581565694008793,0.006790103864937273,-9.977928571429361,112.33238785347132,123.02646726445501,0.20014303426584973,20.806853140173796,0
-0.04888842103912162,-0.09462933239635912,-15.504642857141985,75.56490131928771,113.53415397674794,-0.4807838143705266,16.696670988375093,0
0.05901976243634535,-0.0056843155428641864,-34.96157142857109,41.645304359965,99.15638398555244,-0.48962893740808866,31.26451048987171,1
0.0829873844974122,0.09311872589463593,-40.4721428571429,14.183619128735089,82.1618309832647,-0.6674505118833414,30.29614682793622,1
0.018599881459774335,0.1606070283935319,-31.070571428570844,-13.47875398842759,63.033713979754424,-0.6439566451373444,27.936701248933066,0
-0.03691762723528329,0.06466963872190326,-40.643857142857144,-63.3461124606914,37.75774868804841,-0.7323972563736024,27.322047883170004,0
-0.00247593224920187,-0.02079367802471081,-91.35049999999967,-144.22410078217007,1.3613787933247659,-0.7531627643455943,13.19229101405516,0
-0.0039362798065798905,-0.04332983929106503,-100.28414285714294,-241.82930825170232,-47.27675861514822,-0.7122885409145625,12.136307717762815,0
-0.05929311702885644,-0.06570532908463818,-107.4315,-312.0414014955131,-100.2296871942777,0.4483097314785198,8.79311388037362,0
-0.012056627628707513,-0.07528602446414383,-147.3782142857139,-376.23124979440973,-155.429999719015,0.8215850924743665,7.863710133061862,0
0.0069261404747328545,-0.06442360418283108,-230.64814285714274,-505.31890249805576,-225.40778027879296,0.8766672371650508,5.160118152288918,0
-0.06636240126288355,-0.07149288841685819,-222.36421428571404,-580.3068147636392,-296.3875871811192,0.9195408774335807,5.450073839892903,0
0.02560764439779186,-0.0338286163903588,-207.74785714285665,-624.9842579664153,-362.1069213428204,0.5998505622517394,5.926790249115112,0
-0.012843388348271343,-0.053598145213362994,-154.5209285714282,-607.4977130827489,-411.1850796949576,0.5552105012687685,4.309777154489186,1
